,会社名,就業形態,初年度年収
0,株式会社アミル ,正社員,300万円～600万円
1,株式会社エース ,正社員,
2,総合技研株式会社 ,正社員,350万円～650万円
3,デンヨー株式会社 ,正社員,320万円～450万円
4,株式会社松本鐵工所 ,正社員,
5,株式会社AMALフラッグエステート ,正社員,400万円～550万円
6,キオクシア岩手株式会社 ,正社員,400万円～850万円
7,井戸産業株式会社 ,正社員,330万円～470万円
8,KDDIエンジニアリング株式会社 ,正社員,450万円～650万円
9,株式会社リクルートR&Dスタッフィング ,正社員,300万円～700万円
10,株式会社ワークス ,正社員,
11,株式会社サカエ金型工業 ,正社員,450万円～750万円
12,株式会社データベース ,正社員,
13,高橋土建株式会社 ,正社員,
14,富士電機株式会社 ,正社員,400万円～900万円
15,富士電機株式会社 ,正社員,400万円～900万円
16,富士電機株式会社 ,正社員,400万円～900万円
17,住友重機械工業株式会社 ,正社員,450万円～750万円
18,ゼネラルエンジニアリング株式会社 ,正社員,300万円～650万円
19,株式会社神戸製鋼所 ,正社員,400万円～750万円
20,株式会社神戸製鋼所 ,正社員,400万円～700万円
21,株式会社神戸製鋼所 ,正社員,400万円～750万円
22,株式会社奥村組 ,正社員,500万円～900万円
23,セイコーエプソン株式会,正社員,500万円～800万円
24,電源開発株式会社 ,正社員,600万円～1000万円
25,電源開発株式会社 ,正社員,600万円～1000万円
26,TDK株式会社 ,正社員,400万円～850万円
27,株式会社国際技術コンサルタンツ ,正社員,300万円～500万円
28,株式会社ゲッコー ,正社員,350万円～650万円
29,株式会社テック ,正社員,350万円～600万円
30,株式会社そうけん ,正社員,
31,セントパーツ株式会社 ,正社員,300万円～500万円
32,第一プラスチック株式会社 ,正社員,300万円～600万円
33,千住金属工業株式会社 ,正社員,300万円～490万円
34,織田設備株式会社 ,正社員,
35,山陽電設工業株式会社 ,正社員,300万円～400万円
36,独立行政法人都市再生機構 ,正社員,350万円～700万円
37,株式会社メイバンプラスチック茂木 ,正社員,300万円～450万円
38,独立行政法人都市再生機構 ,正社員,350万円～700万円
39,独立行政法人都市再生機構 ,正社員,350万円～700万円
40,株式会社 日立インダストリアルプロダクツ ,正社員,
41,技建開発株式会社 ,正社員,340万円～650万円
42,株式会社オートテクニックジャパン ,正社員,350万円～400万円
43,南総電機株式会社 ,正社員,280万円～350万円
44,住宅情報館株式会社 ,正社員,300万円～600万円
45,株式会社有明測量開発社 ,正社員,300万円～800万円
46,株式会社トーコー ,正社員,300万円～550万円
47,ASTI株式会社 ,正社員,350万円～600万円
48,株式会社サプラ ,正社員,
49,有限会社相見砲金工場 ,正社員,260万円～500万円
50,有限会社オヤマツ設計事務所 ,正社員,240万円～800万円
51,九電テクノシステムズ株式会社 ,正社員,
52,株式会社矢島製作所 ,正社員,
53,株式会社トメックス ,正社員,
54,吉田工業株式会社 ,正社員,400万円～500万円
55,株式会社川金ダイカスト工業 ,正社員,
56,株式会社フジコー ,正社員,
57,日電商工株式会社 ,正社員,
58,株式会社アローズ ,正社員,300万円～800万円
59,株式会社湖池屋　 ,正社員,
60,スズキ株式会社 ,正社員,400万円～700万円
61,株式会社あづみ野石産 ,正社員,
62,アスリートFA株式会社 ,正社員,400万円～650万円
63,原子力エンジニアリング株式会社 ,正社員,300万円～550万円
64,西戸崎興産株式会社 ,正社員,350万円～550万円
65,鹿島舗道工業株式会社 ,正社員,400万円～500万円
66,清田軌道工業株式会社 ,正社員,350万円～600万円
67,新潟機器株式会社 ,正社員,250万円～600万円
68,アルファ計画株式会社 ,正社員,
69,株式会社シアテック ,正社員,550万円～650万円
70,株式会社トヨタプロダクションエンジニアリング ,正社員,
71,株式会社ヤマキョウ ,正社員,330万円～630万円
72,株式会社東海ヒット ,正社員,400万円～550万円
73,グローリーメカトロニクス株式会社 ,正社員,
74,日本基礎技術株式会社 ,正社員,400万円～600万円
75,ＪＡ共済損害調査株式会社 ,正社員,400万円～600万円
76,株式会社ファニックス ,正社員,
77,株式会社小山産業 ,正社員,350万円～600万円
